atmId,code_str,date,disbursement_amnt,money_fulfilled
3,S1A95015,2017-08-09,3700,0
3,S1A95015,2017-08-10,2680,0
3,S1A95015,2017-08-11,2940,0
3,S1A95015,2017-08-12,20,0
3,S1A95015,2017-08-13,100,0
3,S1A95015,2017-08-14,1080,0
3,S1A95015,2017-08-15,40,0
3,S1A95015,2017-08-16,1620,0
3,S1A95015,2017-08-17,1410,0
3,S1A95015,2017-08-18,2070,0
3,S1A95015,2017-08-19,230,0
3,S1A95015,2017-08-20,100,0
3,S1A95015,2017-08-21,1510,0
3,S1A95015,2017-08-22,1200,0
3,S1A95015,2017-08-23,1460,0
3,S1A95015,2017-08-24,4480,0
3,S1A95015,2017-08-25,2280,0
3,S1A95015,2017-08-26,40,0
3,S1A95015,2017-08-27,80,0
3,S1A95015,2017-08-28,4410,0
3,S1A95015,2017-08-29,4030,0
3,S1A95015,2017-08-30,3100,0
3,S1A95015,2017-08-31,4190,0
3,S1A95015,2017-09-01,7150,98980
3,S1A95015,2017-09-02,60,0
3,S1A95015,2017-09-03,500,0
3,S1A95015,2017-09-04,3670,0
3,S1A95015,2017-09-05,5230,0
3,S1A95015,2017-09-06,6000,0
3,S1A95015,2017-09-07,2000,0
3,S1A95015,2017-09-08,4680,0
3,S1A95015,2017-09-09,580,0
3,S1A95015,2017-09-10,380,0
3,S1A95015,2017-09-11,3370,0
3,S1A95015,2017-09-12,8220,0
3,S1A95015,2017-09-13,8600,0
3,S1A95015,2017-09-14,3960,0
3,S1A95015,2017-09-15,6340,0
3,S1A95015,2017-09-16,100,0
3,S1A95015,2017-09-17,100,0
3,S1A95015,2017-09-18,8190,0
3,S1A95015,2017-09-19,5310,0
3,S1A95015,2017-09-20,5980,0
3,S1A95015,2017-09-21,5760,0
3,S1A95015,2017-09-22,5580,0
3,S1A95015,2017-09-23,460,0
3,S1A95015,2017-09-25,7320,92390
3,S1A95015,2017-09-26,8240,0
3,S1A95015,2017-09-27,8440,0
3,S1A95015,2017-09-28,10050,0
3,S1A95015,2017-09-29,7940,0
3,S1A95015,2017-09-30,560,0
3,S1A95015,2017-10-01,490,0
3,S1A95015,2017-10-02,14680,0
3,S1A95015,2017-10-03,850,0
3,S1A95015,2017-10-04,8140,0
3,S1A95015,2017-10-05,6280,0
3,S1A95015,2017-10-06,9060,0
3,S1A95015,2017-10-07,480,0
3,S1A95015,2017-10-08,90,0
3,S1A95015,2017-10-09,8640,0
3,S1A95015,2017-10-10,8060,0
3,S1A95015,2017-10-11,6110,98110
3,S1A95015,2017-10-12,8300,0
3,S1A95015,2017-10-13,9510,0
3,S1A95015,2017-10-14,200,0
3,S1A95015,2017-10-15,690,0
3,S1A95015,2017-10-16,6410,0
3,S1A95015,2017-10-17,5390,0
3,S1A95015,2017-10-18,7830,0
3,S1A95015,2017-10-19,6750,0
3,S1A95015,2017-10-20,6540,0
3,S1A95015,2017-10-21,230,0
3,S1A95015,2017-10-22,160,0
3,S1A95015,2017-10-23,9180,0
3,S1A95015,2017-10-24,7850,0
3,S1A95015,2017-10-25,7890,0
3,S1A95015,2017-10-26,9840,0
3,S1A95015,2017-10-27,11430,98200
3,S1A95015,2017-10-28,1660,0
3,S1A95015,2017-10-29,80,0
3,S1A95015,2017-10-30,6990,0
3,S1A95015,2017-10-31,9490,0
3,S1A95015,2017-11-01,8000,0
3,S1A95015,2017-11-02,9880,0
3,S1A95015,2017-11-03,7860,0
3,S1A95015,2017-11-04,490,0
3,S1A95015,2017-11-05,170,0
3,S1A95015,2017-11-06,10370,0
3,S1A95015,2017-11-07,6920,0
3,S1A95015,2017-11-08,7100,0
3,S1A95015,2017-11-09,6760,0
3,S1A95015,2017-11-10,5550,0
3,S1A95015,2017-11-11,1880,0
3,S1A95015,2017-11-12,60,0
3,S1A95015,2017-11-13,6240,0
3,S1A95015,2017-11-14,9920,99420
3,S1A95015,2017-11-15,7600,0
3,S1A95015,2017-11-16,5390,0
3,S1A95015,2017-11-17,5710,0
3,S1A95015,2017-11-18,610,0
3,S1A95015,2017-11-19,80,0
3,S1A95015,2017-11-20,5750,0
3,S1A95015,2017-11-21,2690,0
3,S1A95015,2017-11-22,5030,0
3,S1A95015,2017-11-23,3000,0
3,S1A95015,2017-11-24,1750,0
3,S1A95015,2017-11-27,2010,0
